client_no,attrition_flag,customer_age,gender,education_level,marital_status,income_category,card_category,months_on_book,months_inactive_12_mon,credit_limit,total_revolving_bal,total_trans_amt,avg_utilization_ratio
717322833,Existing Customer,55,M,Unknown,Single,$80K - $120K,Blue,36,2,10604,1988,1578,0.187
710279508,Existing Customer,52,M,Graduate,Married,$80K - $120K,Blue,42,3,21782,1006,1537,0.046
712168833,Existing Customer,52,F,High School,Married,Less than $40K,Blue,36,3,2133,1469,1426,0.689
780581508,Existing Customer,58,F,Doctorate,Single,$40K - $60K,Silver,47,2,16677,1590,1410,0.095
711957708,Existing Customer,38,F,Graduate,Married,Less than $40K,Blue,36,3,2717,1591,2064,0.586
778782858,Existing Customer,60,M,Graduate,Single,Less than $40K,Blue,48,3,3980,930,4449,0.234
712924383,Attrited Customer,55,M,Unknown,Single,$60K - $80K,Blue,36,2,8411,979,990,0.116
709366458,Existing Customer,43,F,College,Married,Less than $40K,Blue,36,2,2227,1394,1972,0.626
796990908,Existing Customer,35,M,Post-Graduate,Single,$80K - $120K,Silver,29,3,34516,1872,2227,0.054
715702758,Existing Customer,38,F,Graduate,Married,Less than $40K,Blue,36,3,1860,0,1731,0
788974608,Existing Customer,48,M,Graduate,Unknown,$60K - $80K,Blue,35,1,2829,2342,1561,0.828
714790008,Existing Customer,38,F,Unknown,Single,Less than $40K,Blue,36,2,3764,0,1572,0
787438983,Existing Customer,43,M,College,Single,$40K - $60K,Blue,23,2,4559,1664,1652,0.365
713834358,Existing Customer,36,F,Post-Graduate,Married,Less than $40K,Blue,25,3,4701,1492,1679,0.317
710084883,Existing Customer,34,M,College,Married,$80K - $120K,Blue,22,2,1631,0,2962,0
710736558,Existing Customer,39,F,Unknown,Married,Unknown,Blue,36,3,8096,1474,1794,0.182
788915283,Existing Customer,43,F,College,Single,Less than $40K,Blue,29,1,2304,1589,1273,0.69
714916758,Existing Customer,48,F,Uneducated,Married,$40K - $60K,Blue,36,3,5210,0,1309,0
789611283,Existing Customer,44,M,Graduate,Married,$40K - $60K,Blue,38,2,5452,2091,1347,0.384
773288958,Existing Customer,38,M,Graduate,Married,$60K - $80K,Blue,31,3,7475,1473,1592,0.197
811721133,Existing Customer,62,M,High School,Married,$40K - $60K,Blue,56,3,2359,1242,2021,0.526
813961233,Existing Customer,30,M,Unknown,Single,$80K - $120K,Blue,25,2,4237,1676,2465,0.396
783020958,Existing Customer,39,M,Unknown,Married,$80K - $120K,Blue,33,6,18582,794,1836,0.043
715764483,Existing Customer,53,F,High School,Unknown,Less than $40K,Blue,37,2,7202,974,1397,0.135
798110358,Existing Customer,64,F,High School,Married,$40K - $60K,Blue,56,2,1438.3,0,1417,0
715745508,Existing Customer,51,F,Graduate,Single,Unknown,Blue,34,1,11221,1279,1564,0.114
714350658,Existing Customer,32,M,Graduate,Single,Unknown,Blue,26,3,18889,1880,2979,0.1
826478958,Existing Customer,52,M,College,Married,$80K - $120K,Blue,48,3,2066,1601,1578,0.775
719127558,Existing Customer,43,M,High School,Divorced,$80K - $120K,Blue,31,2,34516,1075,3015,0.031
712454958,Existing Customer,40,M,Graduate,Single,$60K - $80K,Blue,27,1,2742,1416,1539,0.516
718561458,Existing Customer,54,M,High School,Married,$60K - $80K,Blue,36,1,20050,1225,1306,0.061
822984108,Existing Customer,34,F,High School,Single,Less than $40K,Blue,30,1,3046,2279,2330,0.748
719469333,Existing Customer,33,F,High School,Single,Less than $40K,Blue,25,3,6193,695,2456,0.112
720871383,Existing Customer,36,M,Graduate,Married,$80K - $120K,Blue,28,3,5634,1996,2366,0.354
788827308,Existing Customer,65,M,Graduate,Married,Less than $40K,Blue,50,2,4507,1574,1793,0.349
710180958,Existing Customer,43,M,High School,Single,$40K - $60K,Blue,33,2,3040,2517,1598,0.828
778346283,Existing Customer,53,M,Graduate,Married,$120K +,Blue,33,3,21006,1905,1856,0.091
787547208,Existing Customer,48,F,College,Single,Less than $40K,Blue,38,3,7326,1710,1852,0.233
714983283,Attrited Customer,39,F,High School,Single,Less than $40K,Blue,36,1,3651,0,862,0
789344358,Existing Customer,57,F,Unknown,Married,Less than $40K,Blue,47,1,3416,2468,1536,0.722
710406633,Attrited Customer,51,F,Uneducated,Married,Unknown,Blue,36,3,3664,0,1168,0
767653233,Existing Customer,48,M,Graduate,Married,$60K - $80K,Blue,42,1,6085,930,3154,0.153
719461008,Existing Customer,51,M,High School,Married,$60K - $80K,Blue,38,3,22332,1748,1318,0.078
789731433,Existing Customer,26,F,Unknown,Single,Less than $40K,Blue,13,2,2063,1390,2602,0.674
775198608,Existing Customer,38,F,Graduate,Married,Less than $40K,Blue,32,3,4429,0,1970,0
717567333,Existing Customer,35,M,Graduate,Married,$60K - $80K,Blue,26,3,3991,1982,1661,0.497
772794108,Existing Customer,46,F,Doctorate,Single,Less than $40K,Blue,36,1,2201,651,3165,0.296
712072908,Existing Customer,48,M,College,Single,$80K - $120K,Blue,36,3,2852,736,1382,0.258
709328733,Existing Customer,49,F,Uneducated,Married,Less than $40K,Blue,37,3,9723,2459,1258,0.253
788107683,Existing Customer,35,M,High School,Married,$40K - $60K,Blue,27,2,5325,1318,1814,0.248
713757633,Existing Customer,65,F,Unknown,Married,$40K - $60K,Blue,56,2,7427,1303,1596,0.175
713279808,Existing Customer,53,M,Unknown,Married,$60K - $80K,Blue,36,3,5619,1310,1816,0.233
712440483,Existing Customer,54,F,Uneducated,Married,Less than $40K,Blue,44,1,5413,1836,1164,0.339
715078383,Existing Customer,64,F,Graduate,Married,Unknown,Blue,36,1,7646,1010,1667,0.132
709214358,Existing Customer,39,F,Graduate,Divorced,Unknown,Blue,30,3,2420,1422,1362,0.588
778399008,Existing Customer,50,M,High School,Married,$80K - $120K,Blue,30,4,4252,0,1598,0
811534983,Existing Customer,54,F,Graduate,Married,Less than $40K,Blue,49,2,2031,1069,1943,0.526
719728383,Existing Customer,38,F,Graduate,Married,Unknown,Blue,28,1,6861,1598,2228,0.233
718726833,Existing Customer,39,M,High School,Married,$80K - $120K,Blue,28,2,3327,0,1665,0
780605508,Existing Customer,53,M,Unknown,Married,$40K - $60K,Blue,41,1,2885,1433,1170,0.497
719450508,Existing Customer,53,M,High School,Married,$120K +,Blue,41,3,7272,2037,2333,0.28
711213108,Existing Customer,32,M,College,Divorced,$80K - $120K,Blue,36,3,34516,0,2305,0
708488208,Existing Customer,57,F,Uneducated,Married,Less than $40K,Blue,47,3,2515,1922,2231,0.764
717206508,Existing Customer,65,F,High School,Married,Less than $40K,Blue,36,2,2798,1806,1543,0.645
821836008,Existing Customer,57,M,Uneducated,Single,$80K - $120K,Blue,53,2,34516,2099,1233,0.061
807244983,Existing Customer,65,F,College,Married,Less than $40K,Blue,56,1,1438.3,680,2283,0.473
821872758,Existing Customer,65,M,High School,Single,Less than $40K,Silver,56,2,12609,2517,2121,0.2
809959683,Existing Customer,55,M,College,Married,$80K - $120K,Blue,50,2,19159,2108,1813,0.11
715079208,Existing Customer,54,M,College,Married,$80K - $120K,Blue,42,1,9642,2517,1401,0.261
767049258,Existing Customer,44,M,High School,Single,$120K +,Blue,37,3,8396,1672,1475,0.199
709579383,Existing Customer,58,M,Uneducated,Married,$80K - $120K,Blue,50,3,6978,1148,1362,0.165
781923483,Existing Customer,53,F,College,Married,$40K - $60K,Blue,47,3,2459,1733,2309,0.705
718654533,Existing Customer,33,F,High School,Single,Less than $40K,Silver,24,2,12956,0,2492,0
716169258,Existing Customer,47,F,Graduate,Married,Less than $40K,Blue,39,3,7128,1560,1468,0.219
713908683,Existing Customer,51,M,Unknown,Single,$80K - $120K,Blue,41,2,18749,1314,1381,0.07
708212658,Existing Customer,38,F,Graduate,Married,Less than $40K,Blue,18,3,2193,1260,1799,0.575
756013833,Existing Customer,57,M,Doctorate,Married,$80K - $120K,Blue,50,2,4522,1861,1806,0.412
719358333,Existing Customer,36,M,Uneducated,Married,$40K - $60K,Blue,28,1,2157,574,1663,0.266
713735508,Existing Customer,35,M,Uneducated,Married,$80K - $120K,Blue,25,1,11927,675,1986,0.057
805259733,Existing Customer,55,F,Unknown,Married,Unknown,Blue,50,1,11341,0,1731,0
738749733,Existing Customer,57,F,Doctorate,Married,Unknown,Blue,47,3,7345,1814,1390,0.247
814833408,Existing Customer,56,M,Doctorate,Married,$60K - $80K,Blue,51,3,6036,1409,1741,0.233
719182308,Existing Customer,38,F,High School,Single,Less than $40K,Blue,27,1,2096,1567,1559,0.748
818497758,Existing Customer,54,F,Graduate,Married,Less than $40K,Blue,49,1,1906,1271,1343,0.667
719518308,Existing Customer,48,M,Unknown,Unknown,$80K - $120K,Blue,35,2,5039,0,1390,0
709991883,Attrited Customer,53,M,Graduate,Married,$80K - $120K,Blue,42,1,6214,1147,938,0.185
770901258,Existing Customer,30,F,Graduate,Married,Less than $40K,Blue,17,1,1512,810,2558,0.536
711499158,Existing Customer,47,M,Uneducated,Married,$80K - $120K,Silver,38,3,34516,733,3018,0.021
720445533,Existing Customer,60,F,College,Married,Less than $40K,Blue,53,3,3346,922,1276,0.276
809951133,Attrited Customer,54,M,College,Single,$120K +,Blue,49,2,34516,0,2115,0
714657108,Existing Customer,37,F,Uneducated,Married,Less than $40K,Blue,28,2,6660,1362,2660,0.205
789048858,Existing Customer,32,F,Post-Graduate,Married,Less than $40K,Blue,20,2,2234,1865,2115,0.835
771816408,Existing Customer,44,F,Uneducated,Married,Less than $40K,Blue,33,4,9671,704,2955,0.073
798158808,Existing Customer,53,F,College,Single,$40K - $60K,Blue,47,3,6605,1479,2017,0.224
787685658,Existing Customer,43,M,High School,Divorced,$80K - $120K,Blue,33,3,3083,1898,1448,0.616
720141408,Attrited Customer,49,F,Graduate,Single,Less than $40K,Blue,31,1,5456,951,1096,0.174
788699808,Existing Customer,38,F,Unknown,Single,Unknown,Blue,14,1,4394,0,1538,0
708216108,Existing Customer,56,F,College,Married,$40K - $60K,Blue,44,1,4088,1557,2250,0.381
715074258,Existing Customer,26,F,Graduate,Single,$40K - $60K,Blue,36,3,3930,0,2067,0
771653583,Existing Customer,58,M,High School,Married,$60K - $80K,Blue,46,2,4188,1147,1276,0.274
717374358,Existing Customer,33,M,Unknown,Married,$60K - $80K,Blue,22,3,3637,1998,2161,0.549
720836808,Existing Customer,35,M,High School,Single,$80K - $120K,Blue,28,2,11521,1147,2260,0.1
818701383,Existing Customer,37,M,High School,Married,$60K - $80K,Blue,32,2,2253,1667,1641,0.74
717277833,Existing Customer,27,F,Graduate,Single,Unknown,Blue,13,2,2339,2080,2294,0.889
778137108,Existing Customer,43,M,High School,Single,$80K - $120K,Blue,37,1,30503,2517,1860,0.083
720973833,Existing Customer,49,M,Graduate,Divorced,$60K - $80K,Blue,36,3,4596,0,2872,0
768490458,Attrited Customer,49,M,Uneducated,Married,$80K - $120K,Blue,43,3,5701,2517,961,0.442
751487358,Existing Customer,39,F,Graduate,Married,Less than $40K,Blue,32,6,3221,0,1765,0
712742808,Existing Customer,41,F,Uneducated,Married,Less than $40K,Blue,29,3,3022,1142,1184,0.378
712820208,Existing Customer,32,F,High School,Divorced,Less than $40K,Blue,36,2,2699,1609,2141,0.596
794649858,Existing Customer,58,F,Uneducated,Married,Less than $40K,Blue,39,3,2210,1624,1287,0.735
755262933,Existing Customer,56,M,Post-Graduate,Married,$60K - $80K,Blue,49,3,1438.3,0,1446,0
709541433,Existing Customer,37,M,Graduate,Married,Less than $40K,Blue,36,3,2041,1687,1555,0.827
820622433,Existing Customer,39,M,High School,Married,$120K +,Blue,34,2,3250,1698,2006,0.522
712586583,Existing Customer,26,F,Graduate,Single,$40K - $60K,Blue,13,3,1643,1101,2152,0.67
709816158,Existing Customer,31,F,Unknown,Single,Unknown,Silver,36,3,34516,0,2183,0
712196508,Attrited Customer,46,F,High School,Single,Unknown,Blue,34,3,29543,1164,1015,0.039
767269908,Existing Customer,36,M,College,Married,$120K +,Blue,29,3,3158,0,2973,0
710927733,Existing Customer,39,M,Unknown,Married,$80K - $120K,Blue,36,2,2899,1999,1687,0.69
711310908,Existing Customer,53,F,College,Married,Less than $40K,Blue,36,1,2972,2160,2552,0.727
788862333,Existing Customer,38,F,Uneducated,Married,Less than $40K,Blue,23,2,5645,0,1527,0
713194608,Existing Customer,37,M,Graduate,Married,Less than $40K,Blue,36,3,2463,1751,2171,0.711
793550958,Existing Customer,47,F,Graduate,Married,Less than $40K,Blue,41,3,1438.3,0,1501,0
712607583,Existing Customer,56,M,College,Divorced,$80K - $120K,Blue,36,3,34516,1477,2395,0.043
713921058,Existing Customer,55,F,High School,Married,Less than $40K,Blue,48,2,2897,1601,1337,0.553
709183683,Existing Customer,31,F,Uneducated,Single,Less than $40K,Blue,36,2,5391,0,1971,0
713407458,Existing Customer,62,F,Graduate,Single,Unknown,Blue,36,2,2870,2284,3946,0.796
715241583,Existing Customer,34,M,High School,Married,$120K +,Blue,25,2,23959,2517,1870,0.105
710475408,Existing Customer,33,M,High School,Married,$60K - $80K,Blue,25,2,14918,2028,2171,0.136
708971583,Existing Customer,38,F,Uneducated,Single,Less than $40K,Blue,29,3,3590,1924,1472,0.536
714547458,Existing Customer,65,M,Graduate,Married,$40K - $60K,Blue,56,3,2297,0,1941,0
827631483,Existing Customer,57,M,High School,Married,$80K - $120K,Blue,53,2,25058,1710,2053,0.068
711159108,Attrited Customer,58,F,High School,Married,Less than $40K,Blue,36,2,7418,396,911,0.053
789262683,Existing Customer,60,M,Unknown,Divorced,$40K - $60K,Blue,49,3,3012,0,1315,0
712940508,Existing Customer,39,M,Unknown,Single,$40K - $60K,Blue,24,1,4562,1721,1896,0.377
789733008,Existing Customer,39,F,High School,Married,Unknown,Blue,27,2,10723,1529,2938,0.143
714703158,Existing Customer,39,F,High School,Married,Less than $40K,Blue,36,2,1578,760,2017,0.482
710255208,Existing Customer,60,M,Uneducated,Married,Less than $40K,Blue,49,2,2094,1560,1969,0.745
779236083,Existing Customer,37,F,High School,Married,Less than $40K,Blue,19,1,4138,0,2420,0
713438358,Existing Customer,41,F,Graduate,Married,Unknown,Blue,30,1,5417,1904,1768,0.351
715973583,Existing Customer,56,M,Uneducated,Married,$120K +,Blue,36,3,34516,1047,1378,0.03
794113758,Existing Customer,60,M,High School,Married,$60K - $80K,Blue,54,1,9592,1968,1821,0.205
709452633,Existing Customer,56,F,High School,Single,Less than $40K,Blue,36,1,8881,2145,2027,0.242
788210583,Existing Customer,62,M,College,Married,$40K - $60K,Blue,54,3,1438.3,0,1843,0
717784983,Existing Customer,41,F,Uneducated,Married,Less than $40K,Blue,33,3,3893,1157,1536,0.297
786557358,Existing Customer,44,F,Unknown,Married,Less than $40K,Blue,38,2,3242,799,1424,0.246
768460908,Existing Customer,59,M,Graduate,Single,$40K - $60K,Blue,53,3,6035,1392,1551,0.231
718899708,Existing Customer,55,F,College,Married,Unknown,Blue,36,3,17642,1846,2148,0.105
714697533,Existing Customer,26,M,High School,Single,$60K - $80K,Blue,15,3,4327,0,2344,0
713206683,Attrited Customer,40,M,Graduate,Single,$80K - $120K,Silver,22,1,34516,0,1028,0
708679383,Existing Customer,44,F,Unknown,Unknown,Less than $40K,Blue,32,1,4852,1777,1775,0.366
713067033,Existing Customer,37,M,Uneducated,Single,Unknown,Blue,28,3,7147,1424,2539,0.199
789314133,Existing Customer,37,M,High School,Married,$60K - $80K,Blue,27,3,10320,1799,1754,0.174
713956308,Existing Customer,65,F,Graduate,Married,Less than $40K,Blue,49,2,3297,2297,1894,0.697
711595833,Existing Customer,46,M,College,Married,$60K - $80K,Blue,36,2,9981,807,1456,0.081
779521533,Existing Customer,53,M,High School,Married,$120K +,Blue,36,3,3329,1092,1978,0.328
715225458,Existing Customer,56,F,Uneducated,Married,Less than $40K,Blue,36,3,5991,1993,1867,0.333
716487408,Existing Customer,48,M,Graduate,Married,$40K - $60K,Blue,30,1,3235,2517,1637,0.778
719338383,Existing Customer,34,M,High School,Married,$120K +,Blue,21,3,6259,1063,1836,0.17
710523333,Existing Customer,65,M,Graduate,Married,Less than $40K,Blue,56,3,2541,1616,1416,0.636
787489083,Existing Customer,55,M,Post-Graduate,Married,$80K - $120K,Blue,43,2,21351,2517,1887,0.118
720747633,Existing Customer,32,M,Unknown,Married,$40K - $60K,Blue,36,2,8998,1471,1931,0.163
779480658,Existing Customer,58,F,Graduate,Married,Unknown,Blue,42,3,10247,1600,1754,0.156
711498258,Existing Customer,54,M,High School,Married,$120K +,Blue,42,3,20311,1655,1266,0.081
709316433,Existing Customer,52,M,High School,Single,$60K - $80K,Silver,33,1,33182,1997,1630,0.06
778734108,Existing Customer,36,M,Uneducated,Married,$60K - $80K,Blue,16,5,1686,1252,1758,0.743
778388358,Attrited Customer,56,M,Graduate,Single,$60K - $80K,Blue,36,2,4742,855,870,0.18
716773533,Existing Customer,33,M,Graduate,Married,$60K - $80K,Blue,36,1,1726,1215,1712,0.704
822130683,Existing Customer,61,M,Graduate,Married,$80K - $120K,Blue,56,2,8420,1389,1114,0.165
717268458,Existing Customer,61,M,Graduate,Married,$60K - $80K,Blue,49,3,3352,1713,1952,0.511
827888433,Existing Customer,43,M,Uneducated,Single,$40K - $60K,Blue,39,2,6648,2242,2089,0.337
716522583,Existing Customer,48,F,College,Divorced,Less than $40K,Blue,36,3,2335,1845,1362,0.79
789415983,Existing Customer,36,M,Graduate,Married,$60K - $80K,Blue,27,3,12397,1001,1888,0.081
719819958,Existing Customer,34,M,Uneducated,Married,$40K - $60K,Blue,26,1,1438.3,708,2243,0.492
769579608,Existing Customer,53,F,Graduate,Single,Less than $40K,Blue,46,6,2240,1601,3795,0.715
772353408,Existing Customer,43,F,Unknown,Single,$40K - $60K,Blue,33,3,5330,1161,1441,0.218
716615583,Existing Customer,61,F,High School,Married,Less than $40K,Blue,51,3,1795,794,1834,0.442
781131483,Existing Customer,55,M,High School,Married,$80K - $120K,Blue,47,1,5741,1894,2170,0.33
719101908,Existing Customer,51,F,Graduate,Married,Unknown,Blue,39,3,2002,1248,1585,0.623
720521808,Existing Customer,38,M,Graduate,Single,$80K - $120K,Blue,19,3,25662,1515,1484,0.059
718136283,Existing Customer,52,M,Uneducated,Single,$80K - $120K,Blue,36,1,22103,1515,1541,0.069
778855383,Existing Customer,36,F,High School,Married,Less than $40K,Blue,17,1,1438.3,0,1975,0
779722308,Attrited Customer,45,F,High School,Married,$40K - $60K,Blue,30,2,12355,0,1044,0
818926833,Existing Customer,34,F,College,Married,$40K - $60K,Blue,29,1,2000,0,1944,0
721217283,Existing Customer,27,M,Graduate,Single,$120K +,Blue,17,2,8713,1354,2094,0.155
717167283,Existing Customer,49,F,Unknown,Divorced,Less than $40K,Blue,36,1,9165,0,1846,0
713371233,Existing Customer,43,F,Graduate,Married,Less than $40K,Silver,31,1,11583,631,3320,0.054
778426608,Existing Customer,52,M,Graduate,Married,$80K - $120K,Blue,32,3,1438.3,702,1805,0.488
713823033,Attrited Customer,31,F,Unknown,Married,Unknown,Blue,20,1,8149,0,808,0
787515333,Attrited Customer,40,M,Uneducated,Married,$80K - $120K,Blue,29,2,3616,1151,820,0.318
710944608,Existing Customer,39,M,Graduate,Unknown,$80K - $120K,Blue,31,2,8434,2222,1414,0.263
718444233,Existing Customer,45,M,Graduate,Married,$60K - $80K,Blue,25,3,9791,1311,1649,0.134
771099183,Existing Customer,37,F,Graduate,Single,Less than $40K,Blue,24,2,8444,1945,2497,0.23
770241333,Existing Customer,49,F,Graduate,Divorced,Less than $40K,Blue,43,1,2228,1003,2104,0.45
710819733,Attrited Customer,56,M,Graduate,Married,$120K +,Blue,36,1,12211,0,903,0
772155108,Existing Customer,62,F,High School,Married,Less than $40K,Blue,51,3,1438.3,0,1445,0
798796233,Existing Customer,37,F,High School,Married,$40K - $60K,Blue,31,3,1586,1038,1724,0.654
815472108,Existing Customer,42,M,High School,Single,$40K - $60K,Blue,37,3,2247,1045,1300,0.465
769145733,Existing Customer,36,M,Graduate,Single,$60K - $80K,Blue,30,4,2789,1584,2688,0.568
783364233,Existing Customer,59,M,Graduate,Married,$40K - $60K,Blue,53,2,4241,0,1798,0
772236108,Existing Customer,40,F,Graduate,Married,Unknown,Blue,29,1,8398,1892,1489,0.225
715640358,Existing Customer,43,M,High School,Single,$40K - $60K,Blue,36,3,4112,768,1334,0.187
713529858,Existing Customer,29,M,Graduate,Divorced,$40K - $60K,Silver,22,2,15578,1383,2492,0.089
715684308,Existing Customer,42,F,Graduate,Married,$40K - $60K,Blue,36,2,4008,1636,1395,0.408
709451508,Existing Customer,63,F,High School,Married,Unknown,Blue,50,1,12766,0,1191,0
709204158,Existing Customer,36,F,Post-Graduate,Single,Less than $40K,Blue,24,2,3438,1129,2331,0.328
713182458,Existing Customer,53,M,High School,Married,$80K - $120K,Blue,43,1,16692,2446,1288,0.147
710624658,Existing Customer,36,F,Uneducated,Married,Less than $40K,Blue,36,2,4066,1639,3040,0.403
716355783,Existing Customer,36,M,Unknown,Married,$60K - $80K,Blue,30,2,13080,0,1999,0
716793108,Existing Customer,26,M,College,Single,Less than $40K,Blue,36,1,1934,1070,2334,0.553
716162583,Existing Customer,45,F,Unknown,Single,Less than $40K,Blue,36,2,3230,2517,1931,0.779
714051033,Existing Customer,55,F,Graduate,Married,Less than $40K,Blue,36,2,3615,1699,1967,0.47
715007583,Existing Customer,61,F,Unknown,Unknown,Unknown,Blue,36,2,1801,0,3193,0
719139558,Existing Customer,26,M,Uneducated,Single,Less than $40K,Blue,36,3,2665,1567,2514,0.588
794632308,Existing Customer,40,M,Graduate,Married,$60K - $80K,Silver,25,3,28822,2517,1504,0.087
770662383,Existing Customer,38,M,Graduate,Single,$40K - $60K,Blue,24,3,14632,1158,1399,0.079
714787383,Existing Customer,32,F,College,Married,Unknown,Blue,36,3,6715,1314,1731,0.196
714700158,Existing Customer,53,M,Unknown,Married,$60K - $80K,Blue,46,2,6658,1761,1309,0.264
710581758,Existing Customer,52,F,Graduate,Single,$40K - $60K,Blue,44,2,3360,1219,1309,0.363
720497958,Existing Customer,29,M,Graduate,Married,$80K - $120K,Blue,14,3,14853,0,1800,0
720920058,Existing Customer,38,M,Graduate,Married,$60K - $80K,Blue,25,3,4800,1212,2935,0.252
710872233,Existing Customer,27,M,Unknown,Single,$40K - $60K,Blue,17,1,4610,0,2280,0
709855608,Existing Customer,46,F,High School,Married,Less than $40K,Blue,36,3,1438.3,981,1114,0.682
815484783,Existing Customer,57,M,Uneducated,Single,$60K - $80K,Blue,42,4,8377,1211,1797,0.145
771602883,Existing Customer,42,M,High School,Single,$80K - $120K,Blue,30,5,4147,1719,1776,0.415
755953308,Existing Customer,62,F,Post-Graduate,Married,$40K - $60K,Blue,55,1,2644,2207,1194,0.835
758408883,Existing Customer,37,F,Graduate,Unknown,$40K - $60K,Blue,30,3,13355,1631,1921,0.122
717940008,Existing Customer,57,F,Unknown,Divorced,$40K - $60K,Blue,36,2,3251,1887,3228,0.58
720917808,Existing Customer,35,M,High School,Single,$40K - $60K,Blue,36,3,2100,950,2623,0.452
812801958,Existing Customer,55,F,Unknown,Married,Less than $40K,Blue,50,3,3566,1401,2425,0.393
714997683,Existing Customer,56,F,Graduate,Married,Unknown,Blue,49,1,14915,1111,1388,0.074
709379283,Existing Customer,39,M,Graduate,Married,$60K - $80K,Blue,27,1,13003,0,1697,0
711840408,Existing Customer,64,M,College,Married,Less than $40K,Blue,55,3,2492,1424,1375,0.571
785328408,Existing Customer,37,F,Graduate,Married,Less than $40K,Blue,31,2,1758,1180,2013,0.671
719873808,Existing Customer,34,M,College,Married,$60K - $80K,Blue,23,2,5510,1604,1995,0.291
715528983,Existing Customer,46,M,Uneducated,Divorced,$60K - $80K,Blue,36,1,17196,1646,1466,0.096
720254883,Existing Customer,65,F,High School,Married,$40K - $60K,Blue,46,1,5877,1697,2494,0.289
811980858,Existing Customer,36,M,Graduate,Married,$60K - $80K,Blue,31,1,7667,0,1501,0
711330408,Existing Customer,35,F,College,Married,$40K - $60K,Blue,24,1,2939,1865,2077,0.635
718465458,Existing Customer,49,M,Unknown,Single,$80K - $120K,Blue,31,1,5898,1348,1002,0.229
710616183,Existing Customer,46,F,Uneducated,Single,Unknown,Blue,33,3,19995,0,1879,0
714580158,Existing Customer,26,M,Post-Graduate,Married,$40K - $60K,Blue,36,1,2773,2080,3567,0.75
710798883,Existing Customer,52,M,Graduate,Single,$60K - $80K,Blue,44,2,3323,2310,1599,0.695
720511608,Existing Customer,38,F,Graduate,Married,Unknown,Blue,28,3,16049,799,1989,0.05
708913233,Existing Customer,37,M,High School,Married,$40K - $60K,Blue,28,4,3601,1236,1802,0.343
788038383,Existing Customer,33,F,Graduate,Married,Less than $40K,Blue,25,2,2307,1385,2440,0.6
719905908,Existing Customer,59,M,Uneducated,Married,$60K - $80K,Blue,36,3,3742,1175,1505,0.314
807044958,Existing Customer,34,M,High School,Married,$40K - $60K,Blue,29,3,2937,869,2171,0.296
719514783,Existing Customer,39,F,Post-Graduate,Unknown,Unknown,Blue,26,1,3209,2517,1292,0.784
787643658,Existing Customer,59,M,Graduate,Married,$60K - $80K,Blue,53,1,12554,2169,1422,0.173
779138883,Existing Customer,50,M,Graduate,Married,$60K - $80K,Blue,34,3,4702,0,1673,0
708173433,Existing Customer,26,F,Unknown,Single,$40K - $60K,Blue,14,2,5645,2324,2482,0.412
778401033,Existing Customer,32,M,High School,Married,$60K - $80K,Blue,13,3,14308,1889,1659,0.132
818375733,Attrited Customer,51,F,College,Married,$40K - $60K,Blue,46,1,4882,695,1544,0.142
711048783,Existing Customer,41,M,Doctorate,Married,$80K - $120K,Blue,29,3,33405,0,1345,0
721415658,Existing Customer,39,F,Graduate,Married,$40K - $60K,Blue,27,1,2700,2220,2901,0.822
717961458,Existing Customer,49,F,Uneducated,Single,Less than $40K,Blue,37,1,2934,2381,3396,0.812
718563483,Existing Customer,30,M,Unknown,Divorced,$120K +,Blue,14,2,1548,0,2611,0
717128283,Existing Customer,40,F,High School,Unknown,Less than $40K,Blue,36,2,5525,2409,2305,0.436
718068933,Existing Customer,36,F,Uneducated,Single,Less than $40K,Blue,36,2,5750,1521,2155,0.265
718623783,Existing Customer,56,M,College,Married,$120K +,Blue,36,3,27157,1547,1535,0.057
716565258,Existing Customer,37,M,Doctorate,Single,$80K - $120K,Blue,36,2,12830,0,2526,0
712505658,Existing Customer,51,F,Unknown,Single,Less than $40K,Blue,41,1,5530,1999,1766,0.361
792565908,Existing Customer,36,F,Uneducated,Single,Less than $40K,Blue,30,2,2684,1474,2346,0.549
709267308,Existing Customer,62,M,Graduate,Married,$80K - $120K,Blue,49,1,2437,1400,1651,0.574
710035008,Existing Customer,31,F,Uneducated,Single,Less than $40K,Blue,24,2,3827,1397,2491,0.365
790082508,Existing Customer,42,M,High School,Single,$120K +,Blue,35,2,34516,1658,2935,0.048
716866308,Existing Customer,38,M,High School,Married,$60K - $80K,Blue,33,3,5940,1101,1872,0.185
709707033,Attrited Customer,45,M,Graduate,Single,$60K - $80K,Blue,32,3,13162,0,1424,0
718346658,Existing Customer,50,F,Graduate,Married,Less than $40K,Blue,37,2,1963,1357,1861,0.691
824157858,Existing Customer,58,M,Graduate,Married,$80K - $120K,Blue,54,3,18713,1022,1524,0.055
709735008,Existing Customer,35,M,High School,Married,$80K - $120K,Blue,22,1,3023,1435,1920,0.475
814593858,Existing Customer,58,M,High School,Single,$120K +,Blue,53,1,6103,1798,1468,0.295
718416858,Existing Customer,42,M,Graduate,Married,$60K - $80K,Blue,34,3,10607,2517,1903,0.237
710307933,Existing Customer,32,F,College,Single,Less than $40K,Blue,24,3,2917,2517,2471,0.863
715870758,Existing Customer,35,M,Graduate,Married,$120K +,Blue,30,3,34516,1018,2350,0.029
713819283,Existing Customer,51,M,Uneducated,Married,$80K - $120K,Blue,42,2,25197,2517,3002,0.1
